,age,let-introduced,lettice,church-introduced,spelling-relief,friends-introduced,perry,parents,status,month,jerome,spelling,english,barrons,world,latin-study,hairdresser,barron-crisis,housework,poverty,child-led,projects,assessments,motivation,william,tyler,highest-win,previous-missed,dinner,newslettering,pedagogue,gerbil-studied,doll,visiting,sara,lessons,birthdaying,lettice-monster,bookstore,topeng-defined,barrons-card,greekletters,threats-useless,epilogued,minestrone,photosynthesis,william-intervention,warned,cyan,hyalithe,psitta,not-talking,materials-studied,copy-error,cosmetics-studied,wednesday-done,lectern,art-words,isgreek,isindonesian,isspanish,ishungarian,genius,jerome-texted,hawaiian,format-change,collage-ready,coupons-offered
003_data.txt,10.0,1.0,14.0,1.0,8.0,1.0,3.0,4.0,7.0,26.0,5.0,29.0,4.0,5.0,3.0,1.0,45.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,
077_data.txt,9.0,1.0,15.0,1.0,4.0,1.0,1.0,-1.0,0.0,26.0,,16.0,4.0,,2.0,,,,,3.0,,,,2.0,,,,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
004_data.txt,10.0,1.0,1.0,1.0,13.0,1.0,2.0,2.0,7.0,27.0,3.0,40.0,4.0,5.0,4.0,,,3.0,1.0,12.0,,,,2.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,,,1.0,
054_data.txt,11.0,1.0,1.0,1.0,14.0,1.0,5.0,1.0,4.0,27.0,4.0,58.0,4.0,7.0,4.0,2.0,4.0,3.0,1.0,8.0,2.0,,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,
015_data.txt,12.0,1.0,-4.0,1.0,13.0,1.0,3.0,1.0,6.0,27.0,7.0,65.0,4.0,6.0,3.0,2.0,45.0,3.0,1.0,5.0,2.0,1.0,,2.0,1.0,1.0,4.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,,,1.0,2.0,,,,
006_data.txt,11.0,1.0,-2.0,1.0,17.0,1.0,1.0,3.0,3.0,27.0,4.0,58.0,4.0,6.0,4.0,2.0,,3.0,1.0,12.0,2.0,,,1.0,1.0,1.0,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,1.0,
007_data.txt,11.0,1.0,-1.0,1.0,14.0,1.0,1.0,4.0,5.0,29.0,4.0,30.0,4.0,5.0,3.0,,30.0,3.0,1.0,12.0,2.0,,,2.0,1.0,1.0,2.0,2.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,1.0,,
091_data.txt,11.0,1.0,4.0,1.0,15.0,1.0,2.0,5.0,2.0,29.0,4.0,40.0,4.0,5.0,2.0,1.0,50.0,3.0,1.0,15.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,2.0,1.0,2.0,4.0,,,,,,,,,
028_data.txt,10.0,1.0,-4.0,1.0,8.0,1.0,4.0,2.0,2.0,27.0,7.0,54.0,4.0,2.0,3.0,2.0,,1.0,1.0,3.0,2.0,,,1.0,,,4.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,
016_data.txt,9.0,1.0,-2.0,1.0,5.0,1.0,2.0,11.0,5.0,30.0,2.0,10.0,1.0,1.0,4.0,,,1.0,,3.0,,,,1.0,1.0,,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0
