,age,friends-introduced,perry,world,status,let-introduced,lettice,church-introduced,parents,month,barrons,dinner,poverty,motivation,legend,jerome,spelling-relief,housework,spelling,hairdresser,photosynthesis,william-intervention,william,afrikaans,lettice-monster,child-led,genius,warned,zulu,barron-crisis,art-words,previous-missed,hyalithe,psitta,cyan,english,epilogued,lectern,aquarium,hawaiian,newslettering,italian,highest-win,sara,doll,aboriginal,copy-error,birthdaying,lessons,visiting,tyler,wednesday-done,bookstore,minestrone,materials-studied,collage-ready,coupons-offered,projects,isgreek,cosmetics-studied,latin-study,gerbil-studied,ishungarian,pedagogue,not-talking,greekletters,assessments,threats-useless,format-change,isspanish,barrons-card,jerome-texted,isindonesian,topeng-defined
085,8.0,1.0,2.0,,3.0,1.0,1.0,1.0,11.0,30.0,,1.0,1.0,2.0,,1.0,3.0,,4.0,,,,,,,,,,,,,,0.0,0.0,0.0,,1.0,1.0,2.0,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,
090,11.0,1.0,7.0,4.0,9.0,1.0,-6.0,1.0,0.0,31.0,6.0,1.0,5.0,2.0,1.0,3.0,7.0,1.0,44.0,45.0,,,1.0,,,2.0,,,1.0,3.0,3.0,2.0,,,,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,1.0,2.0,,,,,,1.0,,,1.0,,,,
060,11.0,1.0,6.0,4.0,5.0,1.0,2.0,1.0,3.0,31.0,4.0,1.0,2.0,2.0,1.0,2.0,8.0,1.0,34.0,45.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,,,,1.0,1.0,,1.0,,-1.0,2.0,3.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,
019,10.0,1.0,4.0,4.0,4.0,1.0,-3.0,1.0,1.0,29.0,6.0,1.0,14.0,2.0,,5.0,8.0,1.0,24.0,50.0,,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,
080,11.0,1.0,3.0,4.0,8.0,1.0,-1.0,1.0,1.0,31.0,5.0,1.0,5.0,2.0,1.0,3.0,8.0,1.0,42.0,45.0,,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,-1.0,1.0,3.0,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,,,
067,11.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,0.0,31.0,5.0,1.0,6.0,0.0,,4.0,9.0,1.0,35.0,50.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,3.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,
049,9.0,1.0,3.0,7.0,5.0,1.0,3.0,1.0,2.0,30.0,4.0,1.0,6.0,0.0,1.0,3.0,5.0,1.0,12.0,45.0,,,1.0,,,,,,,3.0,,2.0,,,,4.0,1.0,1.0,,,2.0,,1.0,2.0,,,1.0,,,,,,,1.0,1.0,,,,5.0,,1.0,,,,,1.0,,,,,,,,
099,9.0,1.0,2.0,8.0,4.0,1.0,-1.0,1.0,-1.0,30.0,3.0,1.0,5.0,2.0,1.0,4.0,8.0,1.0,18.0,45.0,,,,,,2.0,1.0,,,1.0,,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,1.0,,,,,,1.0,,
043,11.0,1.0,5.0,4.0,8.0,1.0,-4.0,1.0,5.0,31.0,5.0,,5.0,1.0,1.0,5.0,11.0,1.0,46.0,50.0,,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,2.0,,,,,,,,1.0,
076,11.0,1.0,6.0,4.0,15.0,1.0,-2.0,1.0,0.0,31.0,5.0,1.0,5.0,2.0,,1.0,11.0,1.0,46.0,30.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,4.0,1.0,,,,4.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,3.0,,,1.0,,,,,,,,,,
