,age,friends-introduced,perry,poverty,parents,church-introduced,let-introduced,month,dinner,english,world,spelling,photosynthesis,newslettering,copy-error,sara,status,motivation,lettice,minestrone,jerome,spelling-relief,barrons,housework,legend,warned,hyalithe,psitta,cyan,latin-study,art-words,collage-ready,william-intervention,william,not-talking,barron-crisis,cosmetics-studied,highest-win,isspanish,bookstore,child-led,jerome-texted,doll,lettice-monster,topeng-defined,previous-missed,lessons,isindonesian,afrikaans,visiting,gerbil-studied,epilogued,hairdresser,wednesday-done,materials-studied,tyler,barrons-card,lectern,hawaiian,birthdaying,ishungarian,threats-useless,aquarium,greekletters,isgreek,coupons-offered,pedagogue,format-change,assessments,genius,projects
007,10.0,1.0,2.0,1.0,0.0,1.0,1.0,26.0,1.0,4.0,4.0,29.0,1.0,1.0,,2.0,4.0,1.0,11.0,,2.0,8.0,4.0,1.0,1.0,,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,2.0,,,,,2.0,,,1.0,,,1.0,30.0,,,,,1.0,,,,1.0,,,,1.0,,,,,
091,14.0,1.0,2.0,4.0,4.0,1.0,1.0,27.0,1.0,4.0,26.0,55.0,,2.0,1.0,2.0,3.0,2.0,-3.0,1.0,6.0,63.0,2.0,1.0,1.0,,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,3.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,
028,10.0,1.0,2.0,3.0,1.0,1.0,1.0,26.0,1.0,1.0,4.0,16.0,,2.0,1.0,,4.0,2.0,12.0,,1.0,7.0,4.0,1.0,1.0,,,,,,,,,1.0,,3.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
016,17.0,1.0,2.0,7.0,3.0,1.0,1.0,27.0,1.0,4.0,72.0,31.0,1.0,-1.0,,2.0,5.0,2.0,-1.0,1.0,6.0,90.0,5.0,1.0,,1.0,0.0,0.0,0.0,1.0,,,1.0,1.0,2.0,3.0,,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,,,3.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,1.0,4.0,,,1.0,,,1.0,1.0,,,
017,10.0,1.0,4.0,7.0,-1.0,1.0,1.0,27.0,1.0,4.0,7.0,33.0,1.0,2.0,1.0,2.0,7.0,2.0,1.0,,4.0,19.0,3.0,1.0,2.0,,,,,1.0,,,,,,1.0,1.0,4.0,,,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,1.0,4.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,1.0
079,10.0,1.0,1.0,5.0,3.0,1.0,1.0,27.0,1.0,,13.0,31.0,1.0,2.0,1.0,,0.0,2.0,-3.0,,6.0,16.0,3.0,1.0,,,,,,2.0,2.0,,1.0,1.0,,1.0,1.0,4.0,1.0,,2.0,2.0,1.0,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,
061,12.0,1.0,3.0,3.0,3.0,1.0,1.0,26.0,,3.0,37.0,6.0,,2.0,1.0,1.0,9.0,2.0,11.0,,2.0,44.0,1.0,,2.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,,,,3.0,,1.0,2.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,
046,10.0,1.0,2.0,6.0,2.0,1.0,1.0,26.0,1.0,1.0,6.0,28.0,1.0,2.0,1.0,,9.0,0.0,15.0,,5.0,7.0,6.0,1.0,,,0.0,0.0,0.0,,1.0,,1.0,1.0,,3.0,1.0,1.0,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,
078,10.0,1.0,3.0,1.0,-1.0,1.0,1.0,26.0,1.0,4.0,8.0,6.0,1.0,2.0,1.0,2.0,3.0,2.0,10.0,,2.0,18.0,2.0,,2.0,1.0,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,
096,11.0,1.0,3.0,4.0,-1.0,1.0,1.0,27.0,1.0,4.0,4.0,48.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,,3.0,18.0,5.0,1.0,2.0,,,,,2.0,2.0,1.0,,1.0,,3.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,45.0,2.0,,1.0,,1.0,1.0,,,,3.0,,,1.0,,,1.0,,1.0
094,14.0,1.0,4.0,9.0,3.0,1.0,1.0,27.0,1.0,4.0,16.0,35.0,,2.0,1.0,2.0,5.0,2.0,6.0,1.0,6.0,75.0,5.0,1.0,1.0,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,2.0,,,,,,,,,,
063,11.0,1.0,5.0,5.0,3.0,1.0,1.0,27.0,1.0,4.0,4.0,67.0,,2.0,1.0,2.0,8.0,0.0,-2.0,1.0,4.0,13.0,5.0,1.0,0.0,,,,,2.0,4.0,,,1.0,,3.0,1.0,4.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,3.0,1.0,1.0,1.0,30.0,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,1.0
072,9.0,1.0,2.0,5.0,0.0,1.0,1.0,26.0,1.0,4.0,3.0,18.0,1.0,,,2.0,3.0,2.0,20.0,,1.0,5.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,
044,9.0,1.0,2.0,11.0,2.0,1.0,1.0,29.0,1.0,1.0,3.0,25.0,1.0,,,,2.0,0.0,3.0,,3.0,4.0,4.0,1.0,,,0.0,0.0,0.0,,,,1.0,1.0,,3.0,,1.0,,,2.0,,,1.0,,2.0,,,3.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
032,10.0,1.0,2.0,6.0,5.0,1.0,1.0,26.0,1.0,3.0,10.0,8.0,1.0,2.0,1.0,1.0,4.0,2.0,10.0,,1.0,28.0,5.0,1.0,,1.0,,,,1.0,,,,1.0,,3.0,,1.0,,,,,1.0,,,,,,,,,1.0,45.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,
047,8.0,1.0,1.0,1.0,-1.0,1.0,1.0,26.0,,,1.0,3.0,1.0,2.0,,,1.0,,10.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,1.0,,,,
020,10.0,1.0,3.0,5.0,2.0,1.0,1.0,27.0,1.0,4.0,2.0,44.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,6.0,9.0,5.0,1.0,1.0,,,,,2.0,1.0,,,1.0,,3.0,1.0,4.0,,1.0,2.0,,1.0,,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,
081,10.0,1.0,1.0,6.0,6.0,1.0,1.0,26.0,1.0,4.0,4.0,18.0,,2.0,1.0,2.0,0.0,2.0,10.0,1.0,3.0,9.0,3.0,1.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,50.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,
002,9.0,1.0,2.0,4.0,1.0,1.0,1.0,26.0,1.0,3.0,4.0,9.0,,2.0,,1.0,3.0,2.0,12.0,,,5.0,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,
010,9.0,1.0,2.0,1.0,-1.0,1.0,1.0,26.0,1.0,1.0,2.0,3.0,1.0,4.0,,,2.0,2.0,15.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,
057,15.0,1.0,2.0,5.0,7.0,1.0,1.0,27.0,1.0,4.0,55.0,29.0,1.0,1.0,,2.0,6.0,2.0,2.0,,2.0,90.0,2.0,,,,0.0,0.0,0.0,1.0,2.0,,1.0,1.0,,1.0,1.0,4.0,,1.0,,,,1.0,,2.0,1.0,,1.0,,1.0,1.0,4.0,2.0,,,,,,,,,,1.0,3.0,,,,,,
048,12.0,1.0,3.0,4.0,5.0,1.0,1.0,27.0,1.0,4.0,17.0,38.0,1.0,2.0,1.0,2.0,8.0,2.0,-1.0,,7.0,32.0,4.0,1.0,2.0,,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,,1.0,,1.0,,,,,,
088,9.0,1.0,2.0,4.0,-1.0,1.0,1.0,26.0,1.0,4.0,4.0,12.0,1.0,2.0,1.0,2.0,5.0,0.0,10.0,1.0,1.0,6.0,3.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,1.0,45.0,,1.0,,,,,,,1.0,,,2.0,,,,,,
069,10.0,1.0,2.0,12.0,5.0,1.0,1.0,29.0,1.0,4.0,4.0,25.0,,2.0,1.0,2.0,-1.0,0.0,1.0,1.0,4.0,12.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
064,10.0,1.0,2.0,,9.0,1.0,1.0,27.0,1.0,1.0,26.0,22.0,,,,,2.0,2.0,4.0,1.0,1.0,30.0,,,2.0,,0.0,0.0,0.0,2.0,,,,,,,,4.0,1.0,,,,,1.0,,2.0,,,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
045,11.0,1.0,2.0,7.0,4.0,1.0,1.0,27.0,1.0,4.0,6.0,52.0,,-1.0,1.0,2.0,0.0,2.0,-4.0,1.0,5.0,10.0,3.0,1.0,1.0,,,,,1.0,4.0,1.0,,,,,,4.0,1.0,1.0,2.0,,1.0,,,2.0,1.0,,2.0,1.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0
055,12.0,1.0,6.0,5.0,5.0,1.0,1.0,26.0,1.0,4.0,13.0,41.0,,-1.0,1.0,2.0,8.0,2.0,13.0,1.0,8.0,13.0,2.0,1.0,2.0,,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,1.0,,1.0,2.0,2.0,1.0,,,2.0,1.0,,3.0,1.0,1.0,1.0,,2.0,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,
074,10.0,1.0,2.0,3.0,3.0,1.0,1.0,27.0,1.0,4.0,3.0,46.0,1.0,-1.0,,2.0,4.0,1.0,4.0,1.0,5.0,8.0,3.0,1.0,1.0,1.0,,,,1.0,3.0,,,,,,1.0,4.0,,1.0,2.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,50.0,2.0,,,,,,1.0,,,,1.0,1.0,,1.0,2.0,,,
084,11.0,1.0,4.0,4.0,-2.0,1.0,1.0,27.0,1.0,4.0,18.0,40.0,1.0,2.0,1.0,2.0,6.0,1.0,-2.0,,6.0,26.0,7.0,1.0,1.0,,,,,1.0,4.0,,,1.0,,3.0,,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,45.0,2.0,1.0,1.0,,1.0,,1.0,2.0,,,1.0,2.0,,,,,,
030,14.0,1.0,2.0,6.0,2.0,1.0,1.0,27.0,1.0,3.0,33.0,33.0,,1.0,,1.0,1.0,2.0,0.0,1.0,6.0,71.0,2.0,,2.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,,,2.0,2.0,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,
082,9.0,1.0,2.0,4.0,1.0,1.0,1.0,26.0,1.0,1.0,3.0,9.0,,2.0,1.0,,3.0,1.0,21.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,
083,14.0,1.0,2.0,6.0,4.0,1.0,1.0,26.0,1.0,4.0,34.0,32.0,1.0,-1.0,,2.0,9.0,2.0,11.0,1.0,6.0,51.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,,,2.0,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,1.0,,2.0,1.0,,,2.0,2.0,1.0,1.0,,,1.0
029,11.0,1.0,2.0,4.0,-3.0,1.0,1.0,27.0,1.0,4.0,5.0,67.0,,2.0,1.0,2.0,3.0,1.0,0.0,1.0,4.0,12.0,4.0,1.0,,,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,,3.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,4.0,,,,,,
034,9.0,1.0,3.0,11.0,2.0,1.0,1.0,29.0,1.0,,4.0,9.0,1.0,2.0,,,1.0,1.0,2.0,,2.0,4.0,4.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,3.0,,1.0,,,2.0,,1.0,,,,,,,,,1.0,45.0,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,
008,9.0,1.0,2.0,14.0,1.0,1.0,1.0,29.0,1.0,,-1.0,17.0,1.0,2.0,1.0,,5.0,2.0,2.0,1.0,1.0,5.0,,,,,0.0,0.0,0.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,
005,8.0,1.0,2.0,2.0,3.0,1.0,1.0,26.0,,1.0,1.0,4.0,,1.0,,,1.0,2.0,10.0,1.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0
